Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x887e5a2e5c44e40c59ed0c6fb8649abdff685504c5de200546c05530890f0442","Success","Handle Ops","17261757","2025-07-30 07:05:53","0xdF414A6F13a1A2Fdc5548417d7eA4E9236ee3080","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30","$31.80"
"0xd43c962a3ceeb8297488357202607042a34d51fadf90f31ef6cbf791c6df8b67","Success","Handle Ops","17261667","2025-07-30 07:02:53","0xdC9a56971942D9bFBaFeA4066fF061193f9C9f66","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30.071990867579908675","$31.88"
"0xa75dcce082ca1a23735858dcbc6ba728edcd09a9da9ba093293cff2cd762c654","Success","Handle Ops","17231189","2025-07-29 14:06:57","0x829655D0B4cbBCCD595e408f6C53D04E28Cf3170","","0xBe6149130b5310571eD3c541d054e3349F71615a","","15","$15.90"
"0x497caa4817c185b61617a4add63fe7372fc88b3cb72688953f265c624f0d0d5e","Success","Transfer","17226275","2025-07-29 11:23:09","0xBe6149130b5310571eD3c541d054e3349F71615a","","0x3b9Ce4B73fB57181194d83EC44544c0ccc77319a","","107.561177","$114.01"
"0x5936a5d8a75dce35d1ce93a0f59ca343b84a9c6348d644cfbb8dfbdd7d612dca","Success","Handle Ops","17226133","2025-07-29 11:18:25","0x37fAD24f5D0dF5F5Cdc5AeC97f6C29A25133061D","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30","$31.80"
"0x4893fa598a8696bf3bd1eb231eaf943bc44261155d374b253308ce19aba17ac2","Success","Handle Ops","17223086","2025-07-29 09:36:51","0x3fD9233f44BAC06efb44df03Aae3B96b05206E93","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30.001177","$31.80"
"0xb3f0a433ab56efbe4722b1905055ebcbf8914377ba557da92342be22d22aacde","Success","Handle Ops","17217222","2025-07-29 06:21:23","0x829655D0B4cbBCCD595e408f6C53D04E28Cf3170","","0xBe6149130b5310571eD3c541d054e3349F71615a","","15","$15.90"
"0xdff9ea1f3f89af4ff12545c802f0613095a90a454a48bfe07dec6c0fef53ff2f","Error in Internal Txn : execution reverted","Handle Ops","17171740","2025-07-28 05:05:19","0xBC94DB9b8a56dFE5Bf8961424eEbdc1F9cE680cb","","0xBe6149130b5310571eD3c541d054e3349F71615a","","2.56","$2.71"
"0x4a3b7bb4bf96a5048376fc82f4f04cd5520c0d7928334260b9a288935aa90f20","Success","Handle Ops","17127863","2025-07-27 04:42:45","0x910FEFE2A83E52cfe83a1e64c936c86458831AD9","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30","$31.80"
"0x97d0383bb34db52f3ec598185af8da44974579a74a830d3e5a6b38957b608757","Success","Transfer","16955225","2025-07-23 04:48:09","0xBe6149130b5310571eD3c541d054e3349F71615a","","0x3b9Ce4B73fB57181194d83EC44544c0ccc77319a","","87.88473","$93.16"
"0xa1eaf2cda17edbd618e772894f7267edff47a3179075164a7e06134a7a016826","Success","Handle Ops","16955052","2025-07-23 04:42:23","0x6724a52301e3be0bB1d79F92D4ad0c373a543F32","","0xBe6149130b5310571eD3c541d054e3349F71615a","","30","$31.80"
"0x547f6c1e49fae9720c94b56c0fc2dcd526a363c3674d633bc2a5ded3b04c61bd","Success","Handle Ops","16929995","2025-07-22 14:47:09","0xD82F6825882145dA8f1d9190764b4ff086E5935a","","0xBe6149130b5310571eD3c541d054e3349F71615a","","13.16658","$13.96"
